,depart_from,arrive_at,date,depart_time,arrival_time,price,airline,flight_duration
0,DEN,IAD,2021-04-14,9:25 ,8:13 ,$158,"Frontier, Spirit Airlines ",20h 48m
1,DEN,IAD,2021-04-14,1:45 ,7:00 ,$193,United Airlines,3h 15m
2,DEN,IAD,2021-04-14,4:00 ,9:17 ,$193,United Airlines,3h 17m
3,DEN,IAD,2021-04-14,10:00 ,3:21 ,$193,United Airlines,3h 21m
4,DEN,IAD,2021-04-14,6:15 ,11:36 ,$193,United Airlines,3h 21m
5,DEN,IAD,2021-04-14,11:25 ,4:50 ,$193,United Airlines,3h 25m
6,DEN,IAD,2021-04-14,3:59 ,11:58 ,$200,American Airlines,5h 59m
7,DEN,IAD,2021-04-14,10:19 ,6:36 ,$200,American Airlines,6h 17m
8,DEN,IAD,2021-04-14,6:01 ,3:03 ,$200,American Airlines,7h 02m
9,DEN,IAD,2021-04-14,1:56 ,11:58 ,$200,American Airlines,8h 02m
10,DEN,IAD,2021-04-14,8:07 ,6:36 ,$200,American Airlines,8h 29m
11,DEN,IAD,2021-04-14,12:45 ,11:15 ,$200,American Airlines,8h 30m
12,DEN,IAD,2021-04-14,3:30 ,10:52 ,$202,Delta,5h 22m
13,DEN,IAD,2021-04-14,1:45 ,9:14 ,$202,United Airlines,5h 29m
14,DEN,IAD,2021-04-14,10:50 ,6:28 ,$202,Delta,5h 38m
15,DEN,IAD,2021-04-15,1:45 ,7:00 ,$193,United Airlines,3h 15m
16,DEN,IAD,2021-04-15,4:00 ,9:17 ,$193,United Airlines,3h 17m
17,DEN,IAD,2021-04-15,10:00 ,3:21 ,$193,United Airlines,3h 21m
18,DEN,IAD,2021-04-15,6:15 ,11:36 ,$193,United Airlines,3h 21m
19,DEN,IAD,2021-04-15,11:25 ,4:50 ,$193,United Airlines,3h 25m
20,DEN,IAD,2021-04-15,3:59 ,11:58 ,$200,American Airlines,5h 59m
21,DEN,IAD,2021-04-15,10:19 ,6:36 ,$200,American Airlines,6h 17m
22,DEN,IAD,2021-04-15,6:01 ,3:03 ,$200,American Airlines,7h 02m
23,DEN,IAD,2021-04-15,1:56 ,11:58 ,$200,American Airlines,8h 02m
24,DEN,IAD,2021-04-15,8:07 ,6:36 ,$200,American Airlines,8h 29m
25,DEN,IAD,2021-04-15,12:45 ,11:15 ,$200,American Airlines,8h 30m
26,DEN,IAD,2021-04-15,10:42 ,5:37 ,$202,Delta,4h 55m
27,DEN,IAD,2021-04-15,9:45 ,4:50 ,$202,United Airlines,5h 05m
28,DEN,IAD,2021-04-15,3:30 ,10:52 ,$202,Delta,5h 22m
29,DEN,IAD,2021-04-15,1:45 ,9:14 ,$202,United Airlines,5h 29m
30,DEN,IAD,2021-04-16,1:45 ,7:00 ,$49,United Airlines,3h 15m
31,DEN,IAD,2021-04-16,4:00 ,9:17 ,$49,United Airlines,3h 17m
32,DEN,IAD,2021-04-16,6:15 ,11:36 ,$49,United Airlines,3h 21m
33,DEN,IAD,2021-04-16,6:01 ,3:03 ,$75,American Airlines,7h 02m
34,DEN,IAD,2021-04-16,12:45 ,11:15 ,$75,American Airlines,8h 30m
35,DEN,IAD,2021-04-16,6:30 ,2:23 ,$77,American Airlines,5h 53m
36,DEN,IAD,2021-04-16,2:42 ,10:39 ,$77,American Airlines,5h 57m
37,DEN,IAD,2021-04-16,1:39 ,10:39 ,$77,American Airlines,7h 00m
38,DEN,IAD,2021-04-16,12:55 ,10:39 ,$77,American Airlines,7h 44m
39,DEN,IAD,2021-04-16,11:25 ,4:50 ,$99,United Airlines,3h 25m
40,DEN,IAD,2021-04-16,3:00 ,10:57 ,$99,Delta,5h 57m
41,DEN,IAD,2021-04-16,2:45 ,11:40 ,$99,Delta,6h 55m
42,DEN,IAD,2021-04-16,12:50 ,9:59 ,$99,Delta,7h 09m
43,DEN,IAD,2021-04-16,6:00 ,3:38 ,$99,Delta,7h 38m
44,DEN,IAD,2021-04-16,12:37 ,11:40 ,$99,Delta,9h 03m
45,DEN,IAD,2021-04-17,1:45 ,7:00 ,$49,United Airlines,3h 15m
46,DEN,IAD,2021-04-17,4:00 ,9:17 ,$49,United Airlines,3h 17m
47,DEN,IAD,2021-04-17,10:00 ,3:21 ,$49,United Airlines,3h 21m
48,DEN,IAD,2021-04-17,6:15 ,11:36 ,$49,United Airlines,3h 21m
49,DEN,IAD,2021-04-17,6:01 ,3:03 ,$75,American Airlines,7h 02m
50,DEN,IAD,2021-04-17,12:45 ,11:15 ,$75,American Airlines,8h 30m
51,DEN,IAD,2021-04-17,2:42 ,10:39 ,$77,American Airlines,5h 57m
52,DEN,IAD,2021-04-17,1:39 ,10:39 ,$77,American Airlines,7h 00m
53,DEN,IAD,2021-04-17,12:55 ,10:39 ,$77,American Airlines,7h 44m
54,DEN,IAD,2021-04-17,11:25 ,4:50 ,$99,United Airlines,3h 25m
55,DEN,IAD,2021-04-17,10:42 ,5:37 ,$99,Delta,4h 55m
56,DEN,IAD,2021-04-17,2:07 ,10:05 ,$99,Delta,5h 58m
57,DEN,IAD,2021-04-17,2:05 ,10:52 ,$99,Delta,6h 47m
58,DEN,IAD,2021-04-17,12:50 ,9:59 ,$99,Delta,7h 09m
59,DEN,IAD,2021-04-17,6:00 ,3:38 ,$99,Delta,7h 38m
60,DEN,DCA,2021-04-14,4:38 ,9:59 ,$137,Frontier,3h 21m
61,DEN,DCA,2021-04-14,11:24 ,4:46 ,$137,Frontier,3h 22m
62,DEN,DCA,2021-04-14,10:00 ,3:21 ,$193,United Airlines,3h 21m
63,DEN,DCA,2021-04-14,10:19 ,5:59 ,$200,American Airlines,5h 40m
64,DEN,DCA,2021-04-14,12:10 ,7:53 ,$200,American Airlines,5h 43m
65,DEN,DCA,2021-04-14,3:59 ,11:53 ,$200,American Airlines,5h 54m
66,DEN,DCA,2021-04-14,1:56 ,10:16 ,$200,American Airlines,6h 20m
67,DEN,DCA,2021-04-14,8:07 ,4:29 ,$200,American Airlines,6h 22m
68,DEN,DCA,2021-04-14,10:19 ,7:53 ,$200,American Airlines,7h 34m
69,DEN,DCA,2021-04-14,8:07 ,5:59 ,$200,American Airlines,7h 52m
70,DEN,DCA,2021-04-14,1:56 ,11:53 ,$200,American Airlines,7h 57m
